nitrogen,phosphorus,potassium,temperature,moisture,humidity,soiltype,cropname,recommended_fertilizer
21,67,92,15.2,14.2,42.6,silty,sugarcane,super phosphate
35,21,16,24.3,24.6,38.3,loamy,rice,urea
97,40,38,47.5,31.3,27.6,sandy,potato,compost
26,69,45,35.3,38.7,74.5,peaty,soybean,dap
10,76,86,12.8,21.8,27.3,loamy,cotton,mop
19,93,45,35.6,38.7,62.9,clay,coconut,super phosphate
63,39,25,16.6,78.2,27.8,silty,lentil,ammonium sulfate
81,54,25,45.9,31.3,89.0,chalky,tomato,npk
2,13,34,43.1,70.4,87.7,sandy,mango,urea
33,18,71,22.1,72.8,84.5,loamy,sorghum,super phosphate
64,92,63,41.7,68.3,35.9,clay,mustard,dap
37,74,15,33.0,83.9,85.2,sandy,sugarcane,npk
16,32,2,34.3,49.7,34.8,peaty,chickpea,compost
87,71,21,37.5,33.1,82.9,chalky,carrot,urea
44,17,61,35.6,48.6,86.2,chalky,sorghum,super phosphate
41,82,47,15.9,23.7,27.3,clay,coffee,organic
36,53,98,29.6,33.1,43.4,loamy,millet,compost
34,89,99,34.3,56.6,81.5,sandy,cabbage,urea
68,81,32,43.0,71.9,61.0,silty,apple,mop
65,34,90,48.8,64.3,49.6,loamy,sorghum,ammonium sulfate
53,6,55,10.2,76.9,87.6,peaty,millet,urea
29,75,90,35.2,58.8,33.6,loamy,apple,dap
62,7,76,11.8,31.9,21.3,sandy,sunflower,super phosphate
73,77,63,21.9,88.8,50.3,silty,millet,organic
68,94,61,13.4,65.6,55.5,clay,chickpea,compost
99,42,83,44.7,44.3,68.1,silty,sunflower,npk
61,18,75,15.2,38.3,82.6,silty,wheat,super phosphate
0,64,48,41.1,84.2,70.6,clay,chickpea,urea
26,7,35,23.6,61.6,37.4,sandy,mango,organic
34,38,47,44.3,78.7,30.6,loamy,rice,ammonium sulfate
73,35,71,49.3,11.0,21.6,chalky,barley,mop
16,18,60,19.5,57.2,32.4,sandy,sugarcane,organic
77,11,5,10.8,32.9,88.9,clay,mustard,npk
63,23,12,26.8,19.5,87.0,sandy,coffee,compost
13,30,63,18.7,46.8,79.9,chalky,pineapple,dap
75,3,85,42.5,79.5,64.7,peaty,sorghum,urea
4,2,36,12.5,41.0,84.8,peaty,banana,ammonium sulfate
75,28,69,37.8,41.1,48.2,sandy,apple,organic
68,97,92,32.3,57.0,78.4,loamy,sunflower,super phosphate
78,49,39,41.0,51.8,52.4,sandy,lentil,mop
45,0,58,34.9,45.5,67.8,clay,onion,mop
3,72,60,11.1,27.7,83.6,loamy,banana,npk
76,89,98,18.6,47.8,74.4,chalky,carrot,npk
64,61,91,20.4,76.9,57.5,clay,coffee,super phosphate
23,31,56,33.0,16.3,32.2,peaty,maize,super phosphate
6,84,57,10.2,13.1,77.5,sandy,tomato,urea
96,62,49,49.0,21.3,34.4,chalky,cotton,urea
92,65,55,47.3,33.9,76.1,chalky,barley,dap
28,27,92,28.4,89.0,44.5,silty,onion,mop
24,100,64,47.0,24.7,23.9,sandy,apple,organic
67,89,55,39.7,84.3,41.9,loamy,potato,organic
69,82,24,27.9,81.6,66.6,chalky,barley,organic
64,83,35,13.3,31.4,35.5,sandy,potato,dap
22,10,66,38.8,43.7,89.3,silty,cotton,mop
94,57,25,19.1,58.9,38.8,peaty,coffee,dap
43,50,48,15.0,59.3,52.6,silty,peanut,organic
15,42,43,38.2,53.2,44.6,silty,barley,compost
75,55,2,19.2,53.4,41.1,loamy,pineapple,mop
47,18,28,44.8,49.9,56.1,loamy,sugarcane,urea
54,54,70,17.4,24.7,69.8,peaty,soybean,compost
46,20,67,31.5,51.8,79.9,silty,coffee,mop
54,46,63,46.9,25.4,31.4,chalky,cotton,urea
88,87,14,34.7,79.6,53.1,clay,banana,organic
48,73,34,17.0,58.1,37.9,loamy,peanut,urea
44,57,13,42.3,17.8,27.7,peaty,sunflower,npk
65,31,16,10.4,48.2,52.2,silty,millet,ammonium sulfate
72,88,5,38.1,58.6,61.4,sandy,coconut,super phosphate
93,20,94,18.4,78.4,64.8,silty,cotton,urea
86,44,81,43.4,13.3,45.1,sandy,mango,dap
37,24,31,13.5,76.1,57.3,peaty,wheat,organic
31,67,44,11.4,17.1,60.5,loamy,potato,compost
6,24,45,23.8,23.7,57.3,loamy,apple,compost
99,0,47,46.5,25.3,67.8,sandy,maize,dap
25,69,51,45.6,66.9,35.1,chalky,maize,dap
94,35,52,18.3,34.4,40.1,peaty,apple,ammonium sulfate
48,29,29,15.0,27.4,36.4,sandy,cotton,urea
31,20,41,18.3,50.7,44.6,chalky,mango,mop
65,62,60,31.8,64.5,45.5,sandy,carrot,compost
28,46,58,20.3,47.2,45.0,sandy,sugarcane,dap
93,12,93,38.1,62.5,57.6,loamy,apple,compost
90,92,54,43.0,34.2,38.7,loamy,carrot,super phosphate
84,54,23,14.0,90.0,48.8,chalky,soybean,super phosphate
21,95,35,37.1,13.6,40.7,clay,rice,npk
48,71,32,40.7,68.5,84.4,chalky,pineapple,npk
21,1,16,22.2,53.9,76.6,loamy,peanut,ammonium sulfate
23,67,80,44.3,12.0,72.5,peaty,mustard,super phosphate
14,51,30,24.7,75.4,80.7,peaty,rice,super phosphate
31,3,54,31.8,49.5,55.9,silty,lentil,super phosphate
49,96,9,48.0,51.9,88.0,sandy,carrot,ammonium sulfate
91,70,47,19.1,63.0,30.4,silty,chickpea,dap
39,79,89,21.1,80.5,44.9,peaty,mustard,compost
36,3,49,17.8,64.8,56.9,chalky,rice,mop
14,97,65,46.9,83.0,86.9,chalky,carrot,ammonium sulfate
61,70,82,18.0,23.1,86.9,clay,cotton,ammonium sulfate
87,11,61,31.8,19.4,40.1,clay,onion,ammonium sulfate
43,49,6,18.6,18.2,51.1,peaty,mustard,urea
57,59,35,49.1,62.7,20.5,sandy,cabbage,organic
49,49,82,45.5,35.3,67.9,peaty,grape,urea
20,34,23,19.2,50.5,24.8,loamy,sorghum,compost
25,63,28,33.5,79.2,82.9,loamy,carrot,organic
66,64,38,47.1,81.8,22.8,chalky,carrot,mop
70,64,76,49.7,76.3,40.0,chalky,pineapple,dap
39,66,94,34.3,39.1,56.8,sandy,lentil,dap
82,57,49,18.7,63.9,36.0,silty,maize,super phosphate
47,75,85,32.6,63.3,82.4,clay,tomato,urea
97,29,5,18.0,72.1,44.5,peaty,sorghum,ammonium sulfate
73,90,68,32.5,71.4,67.1,peaty,wheat,ammonium sulfate
63,47,40,17.1,20.3,25.5,clay,barley,mop
83,2,67,27.4,82.9,84.5,chalky,maize,urea
58,37,86,17.6,21.3,82.1,silty,sunflower,mop
41,51,78,26.1,23.2,38.5,chalky,cotton,compost
28,66,87,19.1,18.9,53.9,peaty,sugarcane,super phosphate
73,8,71,16.5,54.0,55.0,peaty,coconut,organic
6,70,71,26.0,17.5,24.9,peaty,potato,organic
48,85,92,28.2,42.3,57.6,loamy,banana,organic
62,88,59,34.3,54.3,23.8,loamy,banana,organic
44,55,28,41.3,74.2,44.0,sandy,lentil,super phosphate
32,35,92,34.5,12.1,54.1,sandy,pineapple,super phosphate
7,95,8,23.4,48.4,71.3,peaty,grape,urea
31,14,2,45.7,19.8,88.2,chalky,peanut,dap
86,88,58,33.7,45.7,37.0,silty,tomato,compost
25,19,26,48.7,19.3,67.4,sandy,carrot,ammonium sulfate
58,77,70,28.2,62.6,74.8,silty,soybean,compost
56,8,8,31.8,40.6,38.3,loamy,tea,dap
67,12,84,43.6,46.9,49.6,loamy,apple,urea
20,78,47,40.3,14.2,73.1,peaty,coconut,npk
6,43,67,24.5,86.5,49.6,chalky,wheat,compost
90,51,71,18.6,28.4,35.8,chalky,cabbage,ammonium sulfate
92,12,11,21.1,79.8,55.2,peaty,rice,organic
59,60,63,27.3,65.4,46.8,silty,grape,mop
15,96,94,38.5,68.1,32.4,silty,apple,ammonium sulfate
69,51,83,38.8,31.6,61.6,peaty,carrot,mop
80,15,96,12.6,34.0,45.3,chalky,millet,compost
69,86,62,21.7,22.9,55.8,silty,potato,dap
56,75,72,33.2,61.7,22.8,chalky,millet,compost
12,31,54,25.3,81.6,39.8,peaty,lentil,mop
55,89,51,28.7,83.4,49.0,sandy,coffee,npk
78,79,51,29.0,26.5,38.9,loamy,chickpea,compost
65,12,49,27.7,72.7,47.8,peaty,soybean,organic
91,65,40,28.4,48.9,42.2,clay,cotton,super phosphate
80,85,19,15.3,39.3,68.3,silty,maize,super phosphate
97,84,62,43.1,61.7,75.1,loamy,chickpea,organic
79,54,99,32.7,14.0,49.7,silty,potato,mop
13,68,9,22.2,14.9,21.8,loamy,barley,dap
27,55,77,11.5,57.2,21.8,clay,sugarcane,dap
21,37,58,38.9,30.4,52.0,clay,mango,super phosphate
63,3,91,44.2,77.9,56.6,chalky,lentil,compost
7,74,81,31.7,54.0,45.5,chalky,tea,npk
41,79,37,24.3,42.8,69.1,silty,maize,organic
74,29,77,45.1,69.8,59.4,sandy,sorghum,urea
93,21,20,34.1,35.7,61.2,loamy,chickpea,npk
28,20,46,22.7,73.6,86.5,loamy,mango,mop
65,3,85,48.1,29.3,35.1,clay,rice,super phosphate
96,16,32,17.2,37.6,42.9,peaty,tomato,mop
71,98,24,17.4,27.5,40.8,silty,potato,ammonium sulfate
26,100,74,48.3,33.9,56.6,silty,maize,npk
95,84,77,29.4,88.0,72.3,loamy,sunflower,organic
43,89,54,26.4,25.3,43.9,silty,wheat,super phosphate
53,77,38,36.9,26.2,65.9,sandy,chickpea,super phosphate
75,51,40,22.6,79.0,37.9,clay,mustard,organic
77,83,78,26.9,57.3,48.1,peaty,maize,organic
8,89,48,22.6,55.1,72.8,silty,barley,urea
33,3,91,18.8,14.1,50.8,silty,potato,organic
61,2,7,39.9,47.8,32.1,silty,grape,super phosphate
93,8,62,43.0,88.1,39.0,loamy,sugarcane,urea
100,61,14,31.5,74.7,30.9,loamy,pineapple,urea
85,91,24,25.2,32.7,20.6,sandy,soybean,dap
51,43,96,15.0,36.6,71.5,sandy,millet,urea
4,97,32,12.9,41.6,26.3,peaty,coconut,npk
67,37,10,29.8,32.0,38.7,clay,tomato,npk
29,61,80,35.9,82.6,20.5,sandy,pineapple,organic
7,62,6,14.7,18.1,49.1,loamy,rice,npk
99,84,21,47.9,39.4,86.7,loamy,coffee,super phosphate
20,2,15,16.4,45.0,21.6,clay,potato,mop
87,11,26,41.9,49.2,85.4,clay,mango,dap
19,25,34,26.9,47.1,77.5,sandy,pineapple,super phosphate
42,65,40,11.9,12.1,47.7,loamy,sugarcane,organic
42,16,67,33.2,78.0,46.5,chalky,mustard,super phosphate
56,23,41,20.2,57.0,27.0,silty,banana,mop
93,7,31,46.8,46.2,34.0,silty,pineapple,organic
69,10,100,12.1,57.6,50.6,silty,onion,ammonium sulfate
56,22,22,47.2,56.8,46.2,sandy,wheat,mop
40,82,40,46.1,13.3,71.8,peaty,cabbage,super phosphate
50,30,61,22.7,52.9,86.6,sandy,soybean,dap
17,30,16,26.9,78.0,31.2,loamy,cotton,mop
47,44,34,30.5,81.6,30.5,sandy,sunflower,super phosphate
89,62,14,18.0,29.4,25.5,loamy,coconut,urea
66,30,96,24.3,60.6,62.0,chalky,millet,dap
92,77,74,18.3,70.6,27.1,silty,lentil,urea
5,47,15,46.0,80.4,77.3,silty,maize,super phosphate
10,3,47,35.6,67.4,75.1,sandy,onion,organic
80,42,14,43.7,16.1,86.8,chalky,mustard,ammonium sulfate
79,28,47,27.5,39.4,39.3,chalky,sorghum,mop
20,4,11,35.6,67.8,86.9,peaty,mango,organic
33,4,55,24.6,42.2,43.6,peaty,tomato,dap
48,91,21,15.6,30.8,57.4,sandy,peanut,compost
10,51,68,14.8,68.0,80.1,clay,lentil,ammonium sulfate
84,44,33,18.2,75.7,62.7,chalky,rice,mop
72,55,88,11.1,59.6,82.3,loamy,tea,ammonium sulfate
90,85,62,47.1,18.6,64.2,silty,pineapple,ammonium sulfate
23,38,19,16.9,74.8,80.9,clay,pineapple,ammonium sulfate
41,19,100,23.7,20.8,87.7,chalky,mustard,dap
72,37,9,20.5,28.0,82.2,chalky,banana,organic
60,87,84,24.6,81.8,81.9,loamy,barley,ammonium sulfate
71,96,24,34.6,89.9,48.0,clay,chickpea,organic
53,6,52,18.6,54.0,65.4,loamy,wheat,mop
17,24,87,47.7,14.1,59.3,peaty,millet,urea
50,51,62,30.4,53.0,56.5,peaty,cotton,urea
4,91,83,36.5,57.9,28.9,peaty,cabbage,super phosphate
13,58,76,13.1,63.9,79.7,clay,coffee,dap
6,58,67,38.0,30.1,78.3,silty,potato,dap
70,42,31,11.9,62.3,80.5,loamy,lentil,mop
23,83,98,19.4,74.4,85.9,peaty,chickpea,organic
76,3,29,39.3,12.3,55.7,sandy,chickpea,npk
77,54,73,29.5,47.2,36.2,chalky,tea,compost
95,65,55,47.2,80.0,35.3,peaty,soybean,mop
86,37,83,14.0,49.7,20.6,silty,sugarcane,mop
61,49,56,15.5,89.4,46.3,loamy,carrot,dap
10,6,81,29.9,76.8,26.9,loamy,pineapple,urea
66,26,32,23.6,77.5,60.0,chalky,barley,dap
3,84,48,44.7,59.8,44.8,silty,lentil,mop
18,42,72,25.6,34.6,56.3,peaty,pineapple,compost
66,12,95,49.2,75.3,58.6,clay,apple,organic
50,89,29,37.0,37.4,70.6,chalky,cabbage,dap
24,16,12,18.2,40.5,75.4,sandy,peanut,organic
76,31,12,35.9,81.0,56.9,chalky,potato,dap
81,33,54,32.7,35.4,58.4,chalky,sunflower,npk
17,63,47,13.6,64.5,22.2,loamy,sorghum,dap
93,54,4,14.3,48.7,63.9,chalky,tomato,mop
24,0,98,29.6,46.1,24.5,silty,chickpea,ammonium sulfate
44,48,76,15.2,28.3,38.8,chalky,cotton,ammonium sulfate
50,50,68,29.4,49.9,59.6,peaty,rice,mop
84,70,44,45.7,62.4,64.0,chalky,sunflower,mop
18,35,89,31.2,82.8,65.1,peaty,cabbage,mop
10,28,78,22.4,84.7,70.8,silty,sunflower,npk
50,28,35,25.7,84.7,43.8,loamy,maize,mop
7,26,58,43.6,80.3,45.1,clay,sorghum,ammonium sulfate
74,86,75,44.5,42.7,37.1,sandy,millet,urea
19,13,25,43.2,45.7,52.4,clay,sunflower,mop
4,100,98,19.0,89.9,30.6,clay,lentil,organic
53,36,42,12.0,48.8,48.3,chalky,apple,compost
12,31,75,21.1,28.1,26.2,clay,onion,ammonium sulfate
97,76,39,40.7,61.2,34.9,peaty,carrot,dap
7,6,41,39.6,14.0,71.8,chalky,soybean,mop
20,16,78,41.6,40.6,48.5,peaty,potato,dap
4,92,5,31.1,38.6,60.1,silty,lentil,dap
64,82,85,11.6,68.9,88.8,clay,sorghum,urea
3,80,74,16.0,63.6,74.6,sandy,grape,super phosphate
10,73,28,33.7,35.4,21.1,sandy,barley,ammonium sulfate
56,98,72,46.2,35.8,47.2,clay,lentil,ammonium sulfate
52,23,34,36.8,72.6,72.6,peaty,tea,urea
18,94,39,16.5,13.9,73.0,sandy,sunflower,dap
48,4,82,22.3,23.7,20.9,clay,coconut,npk
11,75,18,12.1,30.0,67.2,chalky,cabbage,organic
33,96,48,47.4,28.8,45.5,silty,millet,dap
60,74,52,12.3,28.2,72.5,silty,apple,super phosphate
13,81,44,38.4,17.6,25.9,silty,potato,super phosphate
80,84,55,48.1,43.5,82.7,peaty,grape,urea
18,50,65,31.1,53.2,64.1,chalky,millet,compost
29,100,20,38.7,41.1,87.6,chalky,coconut,dap
41,35,25,20.9,85.5,65.9,sandy,barley,ammonium sulfate
4,99,74,11.2,12.1,85.2,chalky,cotton,compost
48,24,46,28.5,34.4,75.4,clay,grape,mop
69,8,79,19.2,81.0,44.8,loamy,lentil,urea
75,40,12,47.2,45.5,59.8,silty,rice,ammonium sulfate
26,5,32,43.3,60.8,81.7,clay,wheat,super phosphate
71,92,19,40.6,72.8,65.4,sandy,pineapple,mop
10,20,50,36.8,37.0,48.8,sandy,rice,mop
36,18,81,24.4,56.1,48.2,chalky,potato,compost
20,71,26,28.1,29.9,87.8,peaty,sunflower,compost
81,89,90,33.2,22.8,21.6,silty,carrot,dap
74,34,76,21.5,76.4,84.4,sandy,sugarcane,super phosphate
78,10,16,18.3,59.3,86.7,peaty,grape,organic
3,5,28,45.2,43.9,26.1,silty,coconut,compost
23,26,77,21.0,88.0,80.8,silty,soybean,npk
13,19,11,34.2,73.1,47.1,loamy,mustard,mop
91,84,1,17.6,68.6,56.3,peaty,tea,dap
94,77,61,46.6,55.6,79.5,clay,carrot,compost
17,21,14,19.9,24.4,48.9,peaty,maize,organic
30,90,75,36.7,36.5,66.7,loamy,maize,urea
77,80,71,40.5,21.5,82.5,loamy,carrot,urea
16,27,88,19.4,13.9,51.2,sandy,chickpea,super phosphate
0,89,3,32.9,58.4,70.4,silty,pineapple,compost
40,59,40,12.4,53.6,64.3,sandy,carrot,urea
8,60,35,19.9,54.2,52.3,loamy,coconut,super phosphate
1,21,84,16.3,27.2,33.0,chalky,apple,super phosphate
89,11,89,25.0,56.1,33.7,loamy,wheat,organic
99,84,25,45.2,59.2,83.0,chalky,sorghum,ammonium sulfate
64,9,22,16.1,44.0,40.1,clay,millet,dap
98,75,22,28.0,42.3,23.3,clay,banana,dap
85,17,93,34.8,31.0,26.0,clay,grape,compost
52,6,61,25.0,51.9,49.3,chalky,apple,dap
96,34,66,26.5,38.5,72.1,loamy,coconut,urea
24,48,40,30.6,81.8,71.7,peaty,millet,mop
62,51,82,10.8,28.6,43.8,peaty,coffee,mop
11,21,16,25.5,60.6,60.9,silty,pineapple,compost
43,79,45,12.5,66.8,38.6,clay,apple,super phosphate
70,97,20,13.5,29.8,71.6,clay,potato,mop
30,31,72,37.5,50.5,23.6,loamy,peanut,compost
58,41,83,43.8,54.1,74.8,chalky,pineapple,dap
60,72,31,28.2,77.6,40.5,clay,cotton,urea
86,35,19,34.1,73.5,73.8,peaty,soybean,compost
42,35,84,12.7,68.6,68.5,silty,coconut,dap
26,65,49,25.4,53.7,38.3,silty,cabbage,urea
98,63,98,19.9,76.3,43.2,silty,lentil,organic
36,70,68,13.8,84.9,43.9,chalky,sorghum,urea
30,81,95,47.6,81.9,68.8,silty,cabbage,npk
89,25,75,42.3,19.5,65.6,peaty,mustard,npk
51,73,77,45.8,85.9,72.4,clay,chickpea,super phosphate
41,23,78,10.4,54.2,40.4,peaty,onion,ammonium sulfate
63,99,12,28.5,59.4,31.2,chalky,grape,compost
78,3,30,40.7,35.0,73.1,clay,mustard,urea
78,61,89,14.6,19.9,81.7,sandy,grape,dap
34,20,27,16.3,55.9,56.5,clay,wheat,organic
58,32,11,17.5,54.7,25.7,loamy,cabbage,dap
59,70,62,35.8,79.3,81.2,silty,sunflower,ammonium sulfate
33,47,16,38.5,37.7,43.0,silty,coconut,organic
69,64,28,18.7,43.5,46.6,chalky,millet,dap
75,2,69,19.3,42.2,20.7,sandy,sunflower,organic
3,59,23,33.3,89.2,33.8,peaty,sugarcane,urea
62,98,63,23.7,37.6,65.0,loamy,sunflower,compost
83,56,44,46.7,73.5,67.4,peaty,coffee,urea
27,96,51,37.8,14.6,49.9,peaty,banana,npk
49,64,6,36.1,60.2,76.7,chalky,mango,npk
42,88,88,19.5,13.7,60.6,silty,maize,dap
79,53,63,32.0,51.0,88.2,chalky,sugarcane,mop
91,83,71,46.7,41.8,83.8,peaty,tea,npk
33,38,97,12.1,30.3,68.4,silty,wheat,super phosphate
18,4,65,47.4,82.0,73.1,peaty,carrot,ammonium sulfate
61,35,19,30.5,31.6,86.4,clay,pineapple,dap
31,16,24,33.1,46.4,66.8,loamy,chickpea,organic
32,93,23,25.0,38.8,52.3,peaty,mustard,organic
79,19,68,23.0,62.6,51.9,chalky,coconut,super phosphate
97,99,12,50.0,22.6,81.7,clay,grape,npk
77,79,80,13.1,29.2,79.5,chalky,maize,dap
27,55,95,26.7,87.5,52.6,clay,lentil,mop
37,82,81,33.3,49.9,22.5,clay,potato,urea
77,49,64,13.5,67.9,23.1,peaty,coffee,mop
8,92,22,49.7,61.2,87.5,sandy,rice,super phosphate
37,63,36,30.5,44.0,47.6,chalky,cabbage,super phosphate
44,23,58,12.8,43.3,64.6,sandy,sugarcane,urea
29,31,35,35.2,39.4,46.4,silty,sugarcane,dap
10,93,61,16.9,53.8,58.2,sandy,mustard,ammonium sulfate
79,0,1,19.4,82.7,68.5,clay,rice,ammonium sulfate
19,50,94,17.7,42.6,72.4,clay,apple,urea
83,4,12,11.5,66.8,77.4,peaty,carrot,compost
31,100,54,40.0,25.2,33.6,silty,coffee,npk
32,2,83,29.9,56.6,52.8,chalky,banana,ammonium sulfate
13,31,11,45.6,38.9,81.2,loamy,sugarcane,ammonium sulfate
66,54,0,39.8,83.6,25.3,sandy,sugarcane,ammonium sulfate
37,5,58,32.3,34.2,48.9,loamy,barley,organic
39,81,6,46.8,64.1,70.1,silty,mango,ammonium sulfate
33,61,78,11.4,44.4,26.1,silty,tomato,mop
3,62,48,15.1,82.6,60.4,peaty,barley,urea
20,29,41,22.6,48.2,43.9,clay,maize,npk
65,83,6,35.2,67.3,80.2,loamy,maize,organic
39,22,22,38.5,26.4,85.4,peaty,tea,npk
82,85,96,47.1,62.4,48.5,sandy,mustard,dap
94,56,86,38.4,50.4,61.2,silty,soybean,ammonium sulfate
64,76,90,44.4,59.1,22.1,chalky,wheat,npk
22,66,67,50.0,53.9,27.3,chalky,cabbage,compost
7,6,90,38.0,14.1,48.3,chalky,tea,compost
94,40,27,40.9,28.5,65.9,peaty,barley,super phosphate
64,15,87,32.0,13.2,35.1,silty,tomato,organic
72,96,9,13.6,51.3,87.5,silty,wheat,super phosphate
93,75,90,37.5,81.9,49.7,sandy,sugarcane,mop
55,39,93,49.4,14.0,31.8,chalky,coconut,urea
81,38,32,31.3,74.0,55.6,peaty,sorghum,mop
76,99,10,34.1,24.1,57.8,chalky,millet,ammonium sulfate
95,47,35,30.1,16.6,80.3,silty,tea,dap
53,83,54,33.5,53.4,32.4,peaty,pineapple,dap
22,68,61,11.1,88.7,29.9,silty,grape,compost
90,0,36,33.6,51.1,27.6,loamy,coconut,organic
76,76,86,37.9,22.5,27.1,sandy,tea,urea
51,84,67,48.4,88.8,57.6,peaty,apple,organic
100,57,25,26.1,82.2,55.5,silty,barley,urea
97,57,27,19.0,79.6,63.5,sandy,banana,ammonium sulfate
94,98,60,16.8,22.3,80.8,loamy,tomato,urea
84,41,56,31.1,86.2,58.3,sandy,coconut,super phosphate
73,14,73,19.2,80.1,33.0,loamy,sunflower,compost
84,62,56,38.5,49.2,76.7,sandy,barley,urea
69,59,92,29.6,37.3,23.6,loamy,sugarcane,super phosphate
53,46,6,29.3,48.7,87.0,peaty,peanut,ammonium sulfate
38,1,63,29.4,40.2,84.3,clay,onion,mop
0,34,47,48.2,72.8,43.7,clay,pineapple,organic
61,9,24,33.3,68.8,85.8,chalky,banana,compost
35,24,81,36.1,65.6,81.2,chalky,pineapple,dap
42,64,55,12.8,50.1,43.9,silty,grape,ammonium sulfate
19,53,32,18.8,73.6,47.6,clay,coffee,mop
66,78,29,20.9,84.2,53.0,loamy,sunflower,mop
91,28,59,45.5,28.2,30.3,sandy,banana,super phosphate
57,14,49,47.6,50.2,21.9,loamy,coconut,compost
47,19,99,18.0,33.4,85.7,silty,sugarcane,mop
67,44,84,37.7,22.5,34.0,silty,sunflower,mop
84,73,79,25.9,37.2,23.1,peaty,banana,npk
74,56,4,46.0,14.2,37.7,loamy,chickpea,mop
36,40,41,32.5,72.8,29.5,silty,tomato,npk
100,90,70,44.5,45.8,23.9,sandy,mango,urea
87,75,7,18.5,15.9,68.7,sandy,wheat,mop
8,28,84,29.2,88.7,51.0,chalky,onion,urea
53,73,36,41.3,67.9,27.3,silty,onion,mop
4,51,16,20.1,64.9,24.8,clay,millet,super phosphate
15,89,16,48.9,49.6,59.9,clay,barley,organic
89,14,70,44.2,76.0,38.2,chalky,soybean,compost
7,24,87,35.6,86.1,60.9,peaty,maize,urea
5,49,6,37.0,45.5,24.9,silty,lentil,npk
49,90,50,48.8,85.4,68.3,chalky,barley,dap
70,6,7,13.6,43.8,74.2,chalky,coconut,dap
21,19,23,28.5,70.2,25.9,sandy,soybean,urea
33,92,33,15.5,59.5,21.9,peaty,onion,ammonium sulfate
80,3,49,16.0,39.0,34.7,peaty,millet,dap
27,35,77,49.5,10.3,76.6,chalky,pineapple,dap
84,69,34,37.1,27.7,89.4,sandy,grape,dap
11,38,47,16.3,64.9,39.3,sandy,coconut,npk
97,22,30,41.3,27.4,65.4,sandy,barley,super phosphate
52,17,87,37.6,32.3,28.7,clay,sugarcane,npk
99,59,62,19.0,73.5,56.5,sandy,soybean,npk
71,81,42,10.6,47.7,50.7,silty,barley,npk
46,83,17,45.7,58.5,24.4,loamy,coffee,npk
47,6,11,44.7,78.5,32.0,peaty,rice,organic
12,85,20,33.3,47.3,76.9,loamy,apple,dap
4,93,24,14.5,61.9,69.6,silty,sorghum,mop
